x;y;z;u;v;column;row
-511.0412;1933.8268;1024.8864;0.3103;0.5789;9;11
-420.8894;1955.3233;1018.4052;0.3448;0.5789;10;11
-329.0986;1972.7256;1013.1584;0.3793;0.5789;11;11
-236.0110;1985.8970;1009.1873;0.4138;0.5789;12;11
-141.9853;1994.7351;1006.5228;0.4483;0.5789;13;11
-47.3920;1999.1714;1005.1854;0.4828;0.5789;14;11
47.3913;1999.1718;1005.1854;0.5172;0.5789;15;11
141.9847;1994.7362;1006.5228;0.5517;0.5789;16;11
236.0105;1985.8988;1009.1873;0.5862;0.5789;17;11
329.0984;1972.7279;1013.1584;0.6207;0.5789;18;11
420.8895;1955.3259;1018.4052;0.6552;0.5789;19;11
511.0416;1933.8295;1024.8864;0.6897;0.5789;20;11
599.2335;1908.4096;1032.5507;0.7241;0.5789;21;11
685.1703;1879.2711;1041.3363;0.7586;0.5789;22;11
768.5872;1846.6532;1051.1711;0.7931;0.5789;23;11
849.2551;1810.8293;1061.9729;0.8276;0.5789;24;11
926.9848;1772.1070;1073.6490;0.8621;0.5789;25;11
1001.6318;1730.8279;1086.0965;0.8966;0.5789;26;11
1073.1011;1687.3681;1099.2022;0.9310;0.5789;27;11
1141.3519;1642.1376;1112.8427;0.9655;0.5789;28;11
1206.4022;1595.5807;1126.8841;1.0000;0.5789;29;11
-1206.4024;1595.5749;1047.5119;0.0000;0.6316;0;12
-1141.3510;1642.1358;1032.1934;0.0345;0.6316;1;12
-1073.0995;1687.3685;1017.3125;0.0690;0.6316;2;12
-1001.6297;1730.8292;1003.0151;0.1034;0.6316;3;12
-926.9826;1772.1080;989.4359;0.1379;0.6316;4;12
-849.2529;1810.8295;976.6984;0.1724;0.6316;5;12
-768.5852;1846.6522;964.9147;0.2069;0.6316;6;12
-685.1686;1879.2687;954.1860;0.2414;0.6316;7;12
-599.2322;1908.4059;944.6019;0.2759;0.6316;8;12
-511.0406;1933.8247;936.2411;0.3103;0.6316;9;12
-420.8890;1955.3202;929.1709;0.3448;0.6316;10;12
-329.0983;1972.7216;923.4474;0.3793;0.6316;11;12
-236.0107;1985.8924;919.1155;0.4138;0.6316;12;12
-141.9851;1994.7299;916.2089;0.4483;0.6316;13;12
-47.3920;1999.1660;914.7500;0.4828;0.6316;14;12
47.3912;1999.1664;914.7500;0.5172;0.6316;15;12
141.9845;1994.7311;916.2089;0.5517;0.6316;16;12
236.0103;1985.8942;919.1155;0.5862;0.6316;17;12
329.0980;1972.7239;923.4474;0.6207;0.6316;18;12
